ID;Nombre usado para busqueda;Titular;Fuente;Logo ;Link;Vista previa;Miniatura;Fecha;iso_date;Revisado
25;Eulidia yarrellii;Crean microreserva de más de 15 hectáreas para proteger a picaflor de Arica, especie que está peligro crítico de extinción;The Clinic;https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theclinic.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.theclinic.cl/2026/02/25/crean-microreserva-de-mas-de-15-hectareas-para-proteger-a-picaflor-de-arica-especie-que-esta-peligro-critico-de-extincion/;https://static.theclinic.cl/media/2026/02/24-204236_638t_FotoJet-42.jpg;https://news.google.com/api/attachments/CC8iK0NnNDNOVUZLV1RCQlNXUTVabEZNVFJDWEF4anlCU2dLTWdZaFFvcnNIUWc;02/25/2026, 08:00 AM, +0000 UTC;25-02-2026;
25;picaflor de Arica, estrellita chilena;Estudio U. de Chile alerta pérdida de hábitat del picaflor de Arica por expansión de monocultivos en valles del norte;Universidad de Chile;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://uchile.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://uchile.cl/noticias/237158/estudio-u-de-chile-alerta-perdida-de-habitat-del-picaflor-de-arica;https://portaluchile.uchile.cl//.imaging/default/dam/imagenes/Uchile/VEXCOM/ENERO-2026/OneDrive_2026-01-28.zip/Picaflor-de-Arica/Picaflor-de-Arica-1-L.jpg/jcr:content.jpg;https://news.google.com/api/attachments/CC8iJ0NnNWlTRk5oZVZKWU5WODJNR1EyVFJDb0FSaXNBaWdCTWdNdHRSWQ;01/28/2026, 08:00 AM, +0000 UTC;28-01-2026;
25;picaflor de Arica, estrellita chilena;Picaflor de Arica en peligro crítico: estudio alerta impacto de la agricultura intensiva;Canal 9 Bío Bío Televisión;https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.canal9.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.canal9.cl/episodios/nuestra-casa/2026/03/20/picaflor-de-arica-en-peligro-critico-estudio-alerta-impacto-de-la-agricultura-intensiva;https://media.canal9.cl/2026/03/Picaflor-de-Arica-Foto-de-Clauyio-Artesanias.jpg;https://news.google.com/api/attachments/CC8iK0NnNURRVkJEWkRBNVRGSnBka05HVFJDZkF4ampCU2dLTWdZbFJZN3NvUWc;03/20/2026, 07:00 AM, +0000 UTC;20-03-2026;
45;Pristidactylus alvaroi;Declaran al Lagarto gruñidor de Álvaro, especie endémica chilena, en «Peligro Crítico de Extinción;Fundación Terram;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.terram.cl/declaran-al-lagarto-grunidor-de-alvaro-especie-endemica-chilena-en-peligro-critico-de-extincion/;https://www.terram.cl/wp-content/uploads/2025/12/Lagarto_GDA-768x506-1.jpg;https://news.google.com/api/attachments/CC8iK0NnNTJWV0ZWVUdwTFozVkJkV2t3VFJEQkF4aXFCU2dLTWdZQllvWlJ1UVk;12/02/2025, 08:00 AM, +0000 UTC;02-12-2025;
45;Pristidactylus alvaroi;Equipo UM logró que el “Lagarto gruñidor de Álvaro” sea considerado “en peligro crítico de extinción”;Diario Mayor;https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.diariomayor.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.diariomayor.cl/creando-universidad/academicos/equipo-um-logro-que-el-lagarto-grunidor-de-alvaro-sea-considerado-en-peligro-critico-de-extincion;https://www.diariomayor.cl/images/lagarto_ok.jpg;https://news.google.com/api/attachments/CC8iK0NnNUdkMWxSV1dFeFNpMXZiRkp3VFJEQkF4aXFCU2dLTWdhQlVvZ3hvUWc;11/21/2025, 08:00 AM, +0000 UTC;21-11-2025;
45;Pristidactylus alvaroi;Pingüino de Humboldt y lagarto gruñidor en peligro;Diario Sustentable;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diariosustentable.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.diariosustentable.com/2025/10/pinguino-de-humboldt-lagarto-grunidor-y-plantas-endemicas-de-juan-fernandez-aumentan-su-riesgo-de-extincion-en-chile/;https://i0.wp.com/www.diariosustentable.com/wp-content/uploads/2025/10/P.-DE-HUMBOLDT-4.jpg?fit=800%2C534&ssl=1&resize=350%2C200;https://news.google.com/api/attachments/CC8iNkNnNWlZVEE1VWs4MGJXSldWRk50VFJESUFSamVBaWdLTWc0QkFJUmp0V05UYXhxWnNWYlZGZw;10/21/2025, 07:00 AM, +0000 UTC;21-10-2025;
45;lagarto gruñidor de Álvaro;Pingüino de Humboldt, lagarto gruñidor y plantas endémicas de Juan Fernández aumentan riesgo de extinción;The Clinic;https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theclinic.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.theclinic.cl/2025/10/17/pinguino-de-humboldt-lagarto-grunidor-y-plantas-endemicas-de-juan-fernandez-aumentan-riesgo-de-extincion/;https://static.theclinic.cl/media/2025/10/17-222845_w3u0_Pinguino-de-Humboldt-1.jpg;https://news.google.com/api/attachments/CC8iK0NnNUhSVVphUlhwMVkyaFlOeTF6VFJDZkF4ampCU2dLTWdZVmtJSnBzZ2M;10/17/2025, 07:00 AM, +0000 UTC;17-10-2025;
45;lagarto gruñidor de Álvaro;Ministra Rojas expone dramático estado del pingüino de Humboldt, lagarto gruñidor y otras 70 especies;El Desconcierto;https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://eldesconcierto.cl/2025/10/18/ministra-rojas-expone-dramatico-estado-del-pinguino-de-humboldt-lagarto-grunidor-y-otras-70-especies;https://eldesconcierto.cl/media/24365-descubre-el-fascinante-mundo-de-los-pinguinos-de-humboldt-16.webp;https://news.google.com/api/attachments/CC8iK0NnNDBaMlZhU0RScmExZEtNbkp2VFJERUF4aW1CU2dLTWdZWlpJeHJMUWc;10/18/2025, 07:00 AM, +0000 UTC;18-10-2025;
49;ranita;Gobierno ultraderechista chileno da marcha atrás y protege a rana de Darwin;Infobae;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.infobae.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.infobae.com/america/agencias/2026/03/19/gobierno-ultraderechista-chileno-da-marcha-atras-y-protege-a-rana-de-darwin/;https://www.infobae.com/assets/images/logos/fallback-logo-infobae-naranja-1200x900.png;https://news.google.com/api/attachments/CC8iK0NnNXBVbWxxV25SbE5HaE5lRFJEVFJEZ0F4aUFCU2dLTWdZSmtwUXl2UWM;03/19/2026, 07:00 AM, +0000 UTC;19-03-2026;
51;Sephanoides fernandensis;Albatros, pingüinos y picaflores: los centinelas que revelan la salud de islas y océanos;Ladera Sur;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://laderasur.com/articulo/albatros-pinguinos-y-picaflores-los-centinelas-que-revelan-la-salud-de-islas-y-oceanos-protagonizan-una-charla-en-el-festival-ladera-sur/;https://laderasur.com/wp-content/uploads/2025/11/webbb-e1764861668666-1024x441.jpg;https://news.google.com/api/attachments/CC8iL0NnNTZhMUZxYkVRd1dYQnNXak51VFJEckFoak1CaWdLTWdrRk1ZTGxJdWcxOGdB;11/26/2025, 08:00 AM, +0000 UTC;26-11-2025;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
