NOMBRE CIENTÍFICO;NOMBRE COMÚN;REINO;"ENDÉMICA
respecto de Chile
 
-- = No presente en Chile

? = dudoso";"DISTRIBUCIÓN REGIONES:
ANT= ANTARTICA
DV= DESVENTURADAS
IP= ISLA DE PASCUA
JF= Arch. JUAN FERNÁNDEZ
SG= SALAS Y GOMEZ
? = Sin datos o de presencia dudosa o requiere confirmación";Arica y Parinacota;Tarapacá;Antofagasta;Atacama;Coquimbo;Valparaíso continental;Metropolitana;O'higgins;Maule;Ñuble;Bío-Bío;Araucanía;De Los Ríos;De Los Lagos;Aysén;Magallanes continental e insular;Antártica;Isla Pascua;Salas y Gómez;Juan Fernandez;Desventuradas;"CATEGORÍA VIGENTE:
CR = En peligro crítico
DD = Datos insuficientes
EN = En Peligro
EW= Extinta en estado silvestre
EX = Extinta
LC = Preocupación menor
NT = Casi amenazada
R  = Rara
VU = Vulnerable";"ID
Inven
tario
Na
cio
nal";
Orestias piacotensis;karachi;Animalia;SI;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;2735;
Orites myrtoidea;radal enano, radal de hojas chicas, mirtillo, rada;Plantae;NO;VII-IX;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;NT;562;
Oropogon lorolobic;liquen;Fungi;NO;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Otaria flavescens;lobo marino común, lobo de un pelo;Animalia;NO;I-XII;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;751;
Oxalis caesia;;Plantae;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;2872;
Oxalis eremobia;;Plantae;SI;II-III;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;;
Oxalis leucophylla;;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;2873;
Oxalis novemfoliolata ;;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Oxyphyllum ulicinum;parafina;Plantae;SI;II-III;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;4147;
Palaua concinna;;Plantae;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;5425;
Palmaspis jubae;Escama  gigante de palma chilena;Animalia;SI;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Pandion haliaetus;aguila pescadora;Animalia;NO;XV-X;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;LC;700;
Parablechnum chilense;costilla de vaca, quiquil, palmilla;Plantae;NO;IV-XII, JF;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;"VU (JF); LC (Chile continental)";385;
Paraholopterus nahuelbutensis;;Animalia;SI;IX;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;CR;2768;
Parastacus nicoleti;camarón de vega;Animalia;SI;IX-X;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;LC;640;
Parastacus pugnax;camarón de vega;Animalia;SI;V-IX;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;LC;641;
Parietaria feliciana;;Plantae;SI;DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;EN;;
Parmotrema reticulatum anteriormente llamada Rimelia reticulata;liquen;Fungi;NO;II, IV-V, VIII-IX, X-XII, JF, IP;0;0;1;0;1;1;0;0;0;0;1;1;0;1;1;1;0;1;0;1;0;LC;;
Paropisthopatus umbrinus;gusano aterciopelado, onicóforo (genérico);Animalia;SI;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Passiflora pinnatistipula;granadilla, flor de la pasión, pasionaria, pasiflora;Plantae;NO;IV-V;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Patagioenas araucana;torcaza;Animalia;NO;III-XII;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;695;
Pelecanoides garnotii;yunco;Animalia;NO;XV-XIV;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;EN;726;
Pelecanoides magellani;yunco de Magallanes, Magellanic Diving-petrel (inglés);Animalia;NO;X-XII;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;DD;;
Pelecanus thagus;pelícano peruano, pelícano de Humboldt;Animalia;NO;XV-X;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;NT;4175;
Pelechorhynchus penai;mosco de Peña;Animalia;SI;IX-X;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;VU;8291;
Pellaea myrtillifolia;hierba coca, yerba coca, coca;Plantae;SI;III-RM, VI?;0;0;0;1;1;1;1;sd;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;563;
Pellaea ternifolia;;Plantae;NO;XV-II, V, VI, VIII-XIV;1;1;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;LC;564;
Peperomia berteroana; ;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN;1167;
Peperomia coquimbensis; ;Plantae;SI;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;1168;
Peperomia fernandeziana; ;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;NT;1169;
Peperomia margaritifera; ;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;1170;
Peperomia skottsbergii; ;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;1171;
Percichthys melanops;perca negra;Animalia;SI;V-VIII;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;VU;189;
Percichthys trucha;perca trucha;Animalia;NO;V-XII;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;"NT (XV-VII); LC (XVI-VIII-XII)";190;
Percilia gillissi;carmelita;Animalia;SI;V-X;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;EN;822;
Percilia irwini;carmelita de Concepción;Animalia;SI;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;EN;191;
Persea lingue;lingue;Plantae;NO;V-X;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;"VU (XV-VI); LC (VII-XII)";259;
Pertusaria leioplaca;liquen;Fungi;NO;VII, VIII, X, JF;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;LC;;
Phaethon rubricauda;ave del trópico de cola roja;Animalia;NO;III-IV, IP, JF, SG, DV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;VU;714;
Phalacrocorax bougainvillii;guanay;Animalia;NO;XV-XII;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;NT;715;
Phalacrocorax gaimardi;lile;Animalia;NO;XV-XII;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;NT;716;
Phalaropus tricolor;pollito de mar tricolor, pollito de mar de Wilson, falaropo tricolor, falaropo de Wilson;Animalia;NO;XV-XII;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;;
Phegornis mitchellii;chorlito cordillerano;Animalia;NO;XV-VII;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;NT;4207;
Phenes raptor;matapiojo grande, matapiojo gigante;Animalia;NO;IV-X;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;LC;8292;
Philodryas chamissonis;culebra de cola larga;Animalia;SI;II-XIV;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;LC;910;
Philodryas simonsii;culebra de cola larga;Animalia;NO;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DD;911;
Philodryas tachymenoides;culebra de cola larga de Camarones;Animalia;NO;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DD;912;
Phocoena dioptrica;marsopa de anteojos, marsopa anteojillo, spectacled porpoise (inglés);Animalia;NO;XII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;DD;817;
Phocoena spinipinnis;marsopa espinosa;Animalia;NO;XV-V, VI-XII;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;DD;816;
Phoebastria irrorata;albatros de las Galápagos;Animalia;NO;XV-V, VI-VIII, DV;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;CR;;
Phoebetria fusca;albatros oscuro;Animalia;Presencia accidental;Presencia accidental;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Taxón con presencia accidental en Chile;;
Phoebetria palpebrata;albatros de manto claro, albatros tiznado;Animalia;No;XII, DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;EN;;
Phoenicoparrus andinus;flamenco andino, parina grande;Animalia;NO;XV-III;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;718;
Phoenicoparrus jamesi;parina chica;Animalia;NO;XV-III;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;719;
Phoenicopterus chilensis;flamenco chileno;Animalia;NO;XV-XII;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;NT;720;
Phrixotrichus scrofa;tarántula zorro de la costa, araña pollito;Animalia;No;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;EN;;
Phrixotrichus vulpinus;tarántula zorro austral, araña pollito;Animalia;No;VIII-XIV;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;EN;;
Phycella angustifolia;añañuca;Plantae;SI;V-VI;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Phycella fulgens ;;Plantae;SI;XIV-X;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;EN;;
Phycella scarlatina;añañuca;Plantae;SI;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Phyllodactylus gerrhopygus;salamanqueja del norte grande;Animalia;NO;XV-II;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;914;
Phyllopetalia altarensis;;Animalia;SI;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;2754;
Phyllopetalia apicalis;matapiojo de manchas rojas;Animalia;SI;III-IX;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;LC;8293;
Phyllopetalia apollo;matapiojo de manchas rojas;Animalia;NO;RM-X;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;LC;8294;
Phyllopetalia pudu;matapiojo de manchas rojas;Animalia;NO;IV-XI;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;LC;8295;
Phyllopetalia stictica;matapiojo de manchas rojas;Animalia;SI;VIII-XI;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;NT;8296;
Phymaturus aguedae;matuasto de Agueda, Agueda’s Rocky Lizard (Inglés);Animalia;SI;XIII;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;;
Phymaturus alicahuense;matuasto de Alicahue;Animalia;SI;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;2798;
Phymaturus bibronii;matuasto de Bibron;Animalia;SI;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;2864;
Phymaturus darwini;matuasto de Darwin, lagarto de cola gruesa;Animalia;SI;V-RM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;2799;
Phymaturus flagellifer (especie no presente en Chile);;Animalia;--;Especie no presente en Chile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;taxón sin registros de presencia en Chile;;
Phymaturus maulense;matuasto;Animalia;SI;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN;2801;
Phymaturus vociferator;matuasto del Laja, matuasto vociferador;Animalia;SI;XVI?, VIII;0;0;0;0;0;0;0;0;0;sd;1;0;0;0;0;0;0;0;0;0;0;CR;2796;
Physcia adscendens;liquen (genérico);Fungi;NO;V-XII;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;;
Physcia biziana;liquen (genérico);Fungi;SI;XV, V;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Physcia caesia;liquen;Fungi;NO;XIII, X-XII;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;LC;;
Physcia undulata;liquen (genérico);Fungi;NO;XV-I, V-XI;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;LC;;
Physconia muscigena;liquen;Fungi;NO;XI-XII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;LC;;
Physeter macrocephalus;cachalote;Animalia;NO;XV-V, VI-XII, ANT, IP, JF, SG, DV;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;VU;800;
Pichikadi hualpensis;caracol costilludo de Hualpén;Animalia;SI;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR;7970;
Pilularia americana;;Plantae;NO;IV-XIV;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;LC;565;
Pintoa chilensis;pintoa;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;566;
Pitavia punctata;pitao ;Plantae;SI;VII-IX;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;EN;30;
Placea amoena;;Plantae;SI;IV, RM?;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;568;
Placea davidii;;Plantae;SI;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;569;
Placea lutea;macaya amarilla;Plantae;SI;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-R;;
Placea ornata;;Plantae;SI;V-RM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;571;
Plantago fernandezia;plantago de Juan Fernández;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN-R;312;
Plantago lundborgii;;Plantae;SI;DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CR;8304;
Plantago nebularis;no conocido;Plantae;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Platalina genovensium;murciélago longirostro peruano, murciélago de hocico largo, long-snouted bat (inglés);Animalia;NO;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;8297;
Platismatia glauca;liquen;Fungi;NO;IV, RM, IX-XII, V?, VI-VIII?;0;0;0;0;1;sd;1;sd;sd;sd;sd;1;1;1;1;1;0;0;0;0;0;LC;;
Plaxiphora mercatoris;chitón, apretador, mama;Animalia;SI;IP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;DD;;
Plazia daphnoides;koya macho, koya, koba;Plantae;NO;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;8186;
Plectocephalus formosus;no conocido;Plantae;SI;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Plectocephalus gayanus;centaurea de dunas;Plantae;Si;III-IV?;0;0;0;1;sd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Plectostylus araucanus;caracol de árbol araucano, caracol de árbol;Animalia;SI;VII-XVI;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;EN;7973;
Plectostylus chilensis;caracol chileno;Animalia;SI;V-VIII;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;NT;;
Plectostylus peruvianus;caracol chileno;Animalia;SI;V-XVI;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;NT;;
Plectostylus vagabondiae;caracol chileno (genérico);Animalia;SI;VIII-XI;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;LC;;
Plegadis chihi;cuervo de pantano;Animalia;NO;II-X;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;NT;691;
Plegadis ridgwayi;cuervo de pantano de la puna;Animalia;NO;XV-II;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;692;
Pleopeltis cerro-altoensis;helecho (genérico);Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;;
Pleopeltis macrocarpa;;Plantae;NO;II, VIII-X, JF;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;"EN (JF); LC (Chile continental)";573;
Plesiolena bonneti;araña ratón chilena;Animalia;Sí;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;;
Pleurodema bufonina;sapo de cuatro ojos del sur;Animalia;NO;VII, XVI?, VIII-XII;0;0;0;0;0;0;0;0;1;sd;1;1;1;1;1;1;0;0;0;0;0;NT;660;
Pleurodema marmoratum;sapo de cuatro ojos del norte;Animalia;NO;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-R;52;
Pleurodema thaul;sapito de cuatro ojos;Animalia;NO;II-XI;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;NT;661;
Pluteus flammipes;plúteo de fuego (nomb. prop.);Fungi;SI;VII-X;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;LC;;
Pluteus jaffuelii;hongo (genérico);Fungi;SI;V-XII;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;;
Pluteus spegazzinianus;plúteo de Spegazzini (nomb. prop.);Fungi;NO;RM-VI, XII;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;NT;;
Pluvianellus socialis;chorlo de Magallanes;Animalia;NO;XII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;EN;679;
Podiceps gallardoi;pimpollo tobiano, macá tobiano, Hooded Grebe (inglés);Animalia;NO;XII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;CR;;
Podophorus bromoides; ;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EX;1172;
Polycauliona ascendens;liquen;Fungi;NO;I-VII, XIV-X, XII;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;LC;;
Polycauliona kaernefeltii;liquen;Fungi;NO;I-RM, XIV, XII;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;LC;;
Polygala solieri;;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;5428;
Polylepis rugulosa;queñoa;Plantae;NO;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;260;
Polylepis tarapacana;queñoa de altura;Plantae;NO;XV-II;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;261;
Polypodium intermedium;helecho;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"EN [Polypodium intermedium subsp. intermedium]; 
EN-R [P. i. subsp. masafueranum]";313;
Polypodium masafuerae;;Plantae;SI;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN;575;
Polypsecadium litorale;;Plantae;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR;;
Polypsecadium zoellneri;;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;5427;
Polystichum fuentesii;;Plantae;SI;IP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;EX;576;
Polystichum subintegerrimum;;Plantae;SI;XVI-XII;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;NT;577;
Polystichum tetragonum;;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;VU;315;
Porlieria chilensis;guayacán;Plantae;SI;IV-VI;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;262;
Porpoloma sejunctum;hongo;Fungi;Si;VII, IX-XI?, XII;0;0;0;0;0;0;0;0;1;0;0;sd;sd;sd;sd;1;0;0;0;0;0;LC;;
Porzana spiloptera;burrito negruzco, polluela overa, Dot-winged Crake (inglés);Animalia;NO;VIII-X;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;VU;;
Pouteria splendens;lúcumo;Plantae;SI;IV-V;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-R;102;
Praocis aenea;vaquita;Animalia;SI;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Praocis bicentenario;vaquita del bicentenario;Animalia;SI;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Praocis insularis;vaquita insular, vaquita de Guacolda;Animalia;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EX;;
Praocis medvedevi;;Animalia;Si;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;2772;
Primnoella chilensis;látigo de mar;Animalia;NO;X-XII;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;"EN [Ecotipo aguas someras]; DD [Ecotipo aguas profundas]";5430;
Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Animalia;SI;V-RM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Pristidactylus torquatus;gruñidor del sur, lagarto de corbata;Animalia;SI;VI-XIV;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;VU;917;
Pristidactylus valeriae;gruñidor de Valeria;Animalia;SI;V-RM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;918;
Pristidactylus volcanensis;gruñidor de El Volcán;Animalia;SI;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;919;
Procellaria aequinoctialis;petrel de barba blanca, fardela negra grande, petrel negro, pardela gorgiblanca, petrel mentón blanco común;Animalia;NO;XV-V, VI-XII;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;VU;;
Procellaria westlandica;petrel de Westland;Animalia;NO;XV-XII;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;EN;;
Promops davisoni;murciélago mastín de Davison;Animalia;NO;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Prosopis alba;algarrobo del norte, algarrobo blanco, algarrobo de Canchones, llaro;Plantae;NO;XV-II;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;578;
Prosopis alpataco;alpataco, lamaro;Plantae;NO;V-RM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;579;
Prosopis burkartii;;Plantae;SI;I;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;580;
Prosopis chilensis;algarrobo, algarrobo de Chile, algarrobo del centro, árbol blanco, algarrobo blanco, Coile;Plantae;NO;XV-I, III-VI;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;581;
Prosopis flexuosa;tamarugo enano, algarroba, algarrobo;Plantae;NO;I-IV;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;582;
Prosopis reptans;mastuerzo, retortuño;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;583;
Prosopis strombulifera;retortón, fortuna, espinillo, mastuerzo, algarrobilla;Plantae;NO;I, III-V,VI;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;584;
Prosopis tamarugo;tamarugo;Plantae;SI;I-II;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;585;
Protousnea magellanica;liquen;Fungi;NO;IX, X-XII;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;LC;;
Protousnea poeppigii anteriormente llamada Protousnea malacea;liquen;Fungi;NO;VII, XVI, IX, X-XII;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;LC;;
Prumnopitys andina;lleuque, uva de cordillera, huairavillo, lleuqui;Plantae;SI;VII-IX;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;VU;586;
Pseudalsophis elegans;;Animalia;NO;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;828;
Pseudocaranx chilensis ;jurel de Juan Fernández;Animalia;SI;DV, JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;LC;;
Pseudocolopteryx citreola;pájaro amarillo;Animalia;NO;II?, III?, IV?, V-XIV;0;0;sd;sd;sd;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;NT;4286;
Pseudocyphellaria aurata;liquen;Fungi;NO;II, IV, JF;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;VU;;
Pseudocyphellaria bartlettii;liquen (genérico);Fungi;NO;IV, VIII-XII;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;"EN (XV-V);
LC (VI-XII)";;
Pseudocyphellaria berteroana;liquen;Fungi;SI;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN;;
Pseudocyphellaria crocata;liquen;Fungi;NO;IV-XII, JF;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;DD;;
