position,title,source/name,source/icon,link,date,iso_date,thumbnail,thumbnail_small,source/authors/0
12,PROFEPA RESCATA LAGARTO ENCHAQUIRADO Y HALCÓN COLA ROJA EN EL ESTADO DE MORELOS,Gob MX,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.gob.mx&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.gob.mx/profepa/prensa/profepa-rescata-lagarto-enchaquirado-y-halcon-cola-roja-en-el-estado-de-morelos,"03/15/2017, 07:45 AM, +0000 UTC",2017-03-15T07:45:13Z,https://www.gob.mx/cms/uploads/press/main_image/82039/post_PROFEPA_HACO_N_COLA_ROJA_MORELOS.jpg,https://news.google.com/api/attachments/CC8iK0NnNXpURmgzT0RGMVYwWnpaMDFIVFJEakFSaUJBeWdLTWdZbEJZenNuUWc,
13,eSOS | Un lagarto venenoso con reputación terrible,expreso.com.mx,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.expreso.com.mx&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.expreso.com.mx/noticias/sonora/esos--un-lagarto-venenoso-con-reputacion-terrible/78289,"03/22/2020, 07:00 AM, +0000 UTC",2020-03-22T07:00:00Z,https://blob.expreso.com.mx/images/uploads/2020/03/monstruo-de-gila-focus-0-0-608-342.webp,https://news.google.com/api/attachments/CC8iL0NnNVpiRkV6WjFFMFIzUkViblUyVFJEV0FoamdCQ2dLTWdrUklvb29scWc5RlFF,
14,Rescatan a tortuga lagarto en Tabasco,Reforma,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reforma.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.reforma.com/aplicaciones/articulo/default.aspx?id=737131,"01/09/2016, 08:00 AM, +0000 UTC",2016-01-09T08:00:00Z,https://iphonegr.reforma.com/libre/online07/imagetransformer2/ImageTransformer.aspx?img=https://img.gruporeforma.com/imagenes/960x640/3/636/2635334.jpg&maxwidth=960&maxheight=640&imgWatermark=https://www.reforma.com/libre/imgdiseno/mailsharing/marca_agua.png&transparencia=0.9&centerWM=0,https://news.google.com/api/attachments/CC8iK0NnNVVZVWRhVVVwVWIxazBXV2xxVFJERUF4aW1CU2dLTWdhZGhKTExzUVk,
15,"Una cordobesa, la primera persona en Argentina con dos padres y una madre",ElDoce.tv,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://eldoce.tv&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://eldoce.tv/sociedad/una-cordobesa-la-primera-persona-en-argentina-con-dos-padres-y-una-madre_129267/,"05/10/2022, 07:00 AM, +0000 UTC",2022-05-10T07:00:00Z,https://eldoce.tv/resizer/v2/la-jueza-tuvo-que-declarar-la-inconstitucionalidad-de-una-norma-4W7VIK3NVFCLVKNEQ2CXNRKUNY.jpg?auth=36e17a4686f645f568349c8c7e7229deb13fcb6ae302ece92bd33a9b27dd7e07&width=1440,https://news.google.com/api/attachments/CC8iK0NnNURkMnhFWTNGMmVqQmtNSHBXVFJDaUF4amVCU2dLTWdZRklJcHFtUWc,
16,Captan a enorme cocodrilo en Sisal,Desde el Balcon,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.desdeelbalcon.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.desdeelbalcon.com/balcon/captan-a-enorme-cocodrilo-en-sisal/,"01/30/2025, 08:00 AM, +0000 UTC",2025-01-30T08:00:00Z,https://www.desdeelbalcon.com/balcon/wp-content/uploads/2025/01/COCO-1.jpeg,https://news.google.com/api/attachments/CC8iK0NnNHRiRWhOV1VnMlNsVlNORmx3VFJDZEF4am1CU2dLTWdZQk1JNW1sZ28,
17,"REINTEGRA PROFEPA EN SU HÁBITAT A EJEMPLAR DE LAGARTO DE CHAQUIRA, EN COLIMA",Gob MX,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.gob.mx&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.gob.mx/profepa/prensa/reintegra-profepa-en-su-habitat-a-ejemplar-de-lagarto-de-chaquira-en-colima,"07/12/2017, 07:00 AM, +0000 UTC",2017-07-12T07:00:00Z,https://www.gob.mx/cms/uploads/press/main_image/113791/post_LAGARTO_COLIMA_PROFEPA1.jpg,https://news.google.com/api/attachments/CC8iJ0NnNTRlWFp5TVc5aFVWcFhjazlDVFJEakFSaUJBeWdLTWdPQmZDQQ,
18,Reconocerán a Norma Landi con una estatua,ElDoce.tv,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://eldoce.tv&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://eldoce.tv/el-show-tv/reconoceran-norma-landi-con-una-estatua_55238/,"11/29/2017, 08:00 AM, +0000 UTC",2017-11-29T08:00:00Z,https://eldoce.tv/resizer/v2/https%3A%2F%2Fthumbs.vodgc.net%2F6-184-6LMMF71524605516.jpg?auth=5d0e6b211beb16ddb1384b0c6b4e3f4c5e428dff77f59309dda1ffa46c845a5d&width=1440,https://news.google.com/api/attachments/CC8iK0NnNUVTVFpmTUhwdlR6Sk5SbEZyVFJDZkF4ampCU2dLTWdhQk1vNEpvUWs,
19,Reconocerán a Norma Landi con una estatua,ElDoce.tv,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://eldoce.tv&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://eldoce.tv/videos/el-show-tv/reconoceran-norma-landi-con-una-estatua_55244/,"11/29/2017, 08:00 AM, +0000 UTC",2017-11-29T08:00:00Z,https://eldoce.tv/resizer/v2/https%3A%2F%2Fthumbs.vodgc.net%2F6-184-6LMMF71524605516.jpg?auth=5d0e6b211beb16ddb1384b0c6b4e3f4c5e428dff77f59309dda1ffa46c845a5d&width=1440,https://news.google.com/api/attachments/CC8iK0NnNUVTVFpmTUhwdlR6Sk5SbEZyVFJDZkF4ampCU2dLTWdhQk1vNEpvUWs,
20,Incendios de las Altas Montañas ¿acabaron con animales en peligro de extinción?,La Silla Rota,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://lasillarota.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://lasillarota.com/veracruz/estado/2024/4/1/incendios-de-las-altas-montanas-acabaron-con-animales-en-peligro-de-extincion-476595.html,"04/01/2024, 07:00 AM, +0000 UTC",2024-04-01T07:00:00Z,https://lasillarota.com/u/fotografias/m/2024/4/1/f618x335-569520_599113_5050.jpg,https://news.google.com/api/attachments/CC8iK0NnNVZVVGhWWm1sblVWRmhOSFI2VFJEUEFoanFCQ2dLTWdZTlVZcElyZ1E,
21,Asegura Procuraduría ambiental ejemplar de lagarto de chaquira,pulsoslp.com.mx,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://pulsoslp.com.mx&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://pulsoslp.com.mx/nacional/asegura-procuraduria-ambiental-ejemplar-de-lagarto-de-chaquira/867646,"11/12/2018, 08:00 AM, +0000 UTC",2018-11-12T08:00:00Z,https://blobcore.pulsoslp.com.mx/images/2019/01/31/1461268_drwwncqvaaejdqj.jpg,https://news.google.com/api/attachments/CC8iK0NnNUNWRlJsZEhGM1NXcHpaalJVVFJDZkF4amlCU2dLTWdZRmtJck9RQVE,
22,Profepa asegura a especies en peligro de extinción,www.noroeste.com.mx,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.noroeste.com.mx&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.noroeste.com.mx/nacional/profepa-asegura-a-especies-en-peligro-de-extincion-DUNO1061406,"12/14/2016, 08:00 AM, +0000 UTC",2016-12-14T08:00:00Z,https://www.noroeste.com.mx/binrepository/600x400/0c0/0d0/none/12707/AGRM/tarantula-103332_NO1061406_MG8741000.jpg,https://news.google.com/api/attachments/CC8iK0NnNWphMHhFV1dGNE5teG9kVXRSVFJDUUF4allCQ2dLTWdZbGc1SnRzUVk,
23,"Con severas lesiones ingresa al Hospital Escuela, menor que fue atacado por lagarto en Alianza",Proceso Digital,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://proceso.hn&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://proceso.hn/con-severas-lesiones-ingresa-al-hospital-escuela-menor-que-fue-atacado-por-cocodrilo-en-alianza/,"07/22/2024, 07:00 AM, +0000 UTC",2024-07-22T07:00:00Z,https://proceso.hn/wp-content/uploads/2024/06/Hospital-Escuela200.jpg,https://news.google.com/api/attachments/CC8iJ0NnNVJORTFUUVVKd1N5MVRaWG8zVFJEREF4aW5CU2dLTWdNQm9BSQ,
24,Gobierno aprueba decreto para protección de la fauna y flora silvestre de Bolivia,eju.tv,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eju.tv&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://eju.tv/2017/01/gobierno-aprueba-decreto-para-proteccion-de-la-fauna-y-flora-silvestre-de-bolivia/,"01/12/2017, 08:00 AM, +0000 UTC",2017-01-12T08:00:00Z,http://cd1.eju.tv/wp-content/uploads/2017/01/5877880340280.jpg,https://news.google.com/api/attachments/CC8iJ0NnNTJTRFZmV25wUGMyeGZhRzFVVFJDUUF4allCQ2dLTWdQQllRSQ,Luz Mendoza
25,26 candidatos al Congreso en el padrón del Movadef,Perú 21,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://peru21.pe&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://peru21.pe/investigacion/26-candidatos-al-congreso-en-el-padron-del-movadef/,"11/16/2025, 08:00 AM, +0000 UTC",2025-11-16T08:00:00Z,http://peru21.pe/sites/default/efsfiles/2025-11/26-candidados-al-congreso-en-el-padron-del-movadef.jpg,https://news.google.com/api/attachments/CC8iK0NnNWpNbGRTWDA1NFgwMWtZMDlOVFJDZkF4amlCU2dLTWdhRllJQUlSZ1E,Juan Carlos Chamorro
26,Les ponen rostro a culpables del ataque en Minatitlán,El Informador,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.informador.mx&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.informador.mx/mexico/Les-ponen-rostro-a-culpables-del-ataque-en-Minatitlan-20190422-0041.html,"04/22/2019, 07:00 AM, +0000 UTC",2019-04-22T07:00:00Z,https://www.informador.mx/__export/1555937473240/sites/elinformador/img/2019/04/22/relatives_and_friends_x30334172x_crop1555937455198.jpg_554688468.jpg,https://news.google.com/api/attachments/CC8iL0NnNVhYMjFUUW1zMlZteGlPRlF4VFJDZkF4ampCU2dLTWdtQkVKQWpGYW00WXdN,
27,Buscan regular comercio internacional del lagarto cornudo,Reporteros Hoy,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://reporteroshoy.mx&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://reporteroshoy.mx/noticias/buscan-regular-comercio-internacional-del-lagarto-cornudo/,"11/23/2022, 08:00 AM, +0000 UTC",2022-11-23T08:00:00Z,https://reporteroshoy.mx/noticias/wp-content/uploads/2022/11/Lagarto-cornudo.jpg,https://news.google.com/api/attachments/CC8iL0NnNHRRbGRoU0RsbVZWbFNkbFo0VFJDZkF4ampCU2dLTWdrQkFJWUlGQ1VkZ3dN,
